"column","max","min","datatype"
"date",17615,16239,"Date"
"close",469.2,0.223522,"numeric"
"macd",81.177901563431,-28.3535686176361,"numeric"
"stochfast",100.000000000001,-9.23300781425561e-13,"numeric"
"stochslow",100,-8.7487887305097e-14,"numeric"
"stoch_volume",100,0,"numeric"
"smi",70.6031254195591,-97.312360373187,"numeric"
"rsi",93.5189803877345,19.735412938246,"numeric"
"dmi_dx",94.6053475261252,0.00120492616881257,"numeric"
"dmi_adx",78.0823000143364,10.9780254081967,"numeric"
